名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片
八一南昌起义纪念塔,August 1st Nanchang Uprising Monument,9064,77642,28.672670418946566,115.90456424945573,历史建筑,缅怀南昌起义的精神坐标,0.0,0,4.5,339,https://youimg1.c-ctrip.com/target/0105z120009dgs173B5A5.jpg
八大山人纪念馆,Bada Shanren Memorial Hall,50805,83423,28.604926,115.916276,纪念馆,陈列八大山人生平史料,0.0,0,4.4,258,https://youimg1.c-ctrip.com/target/10031f000001gs17i1C32.jpg
八一公园,Bayi Park,133721,95663,28.678689733853584,115.89738550645572,城市公园,原为清代贡院的城市公园,0.0,0,4.5,232,https://youimg1.c-ctrip.com/target/0101x120009dqjp3o3085.jpg
汪山土库,Wangshan Tuku,142027,10524271,29.010194,115.910891,历史建筑|古迹,具有赣南客家围屋的特点,0.0,0,4.5,217,https://youimg1.c-ctrip.com/target/350e0v000000jkoam1FFB.jpg
佑民寺,Youmin Temple,9071,77649,28.68226264344832,115.8968607147493,寺庙,欣赏庄严肃穆的巨型铜佛像,0.0,0,4.5,203,https://youimg1.c-ctrip.com/target/0100s120009cwtxbeB3F5.jpg
洪崖丹井景区,Hongyadan Well Scenic Area,71155,88815,28.724067,115.730606,湖泊|古迹|河流|4A景区,古代南昌十景之一,0.0,0,4.3,183,https://youimg1.c-ctrip.com/target/350s0u000000j42k067EB.jpg
百花洲,Baihuazhou,9067,77645,28.676864,115.896622,城市公园,倚靠东湖的市民休憩之地,0.0,0,4.6,167,https://youimg1.c-ctrip.com/target/0105h120009d41rhz8C76.jpg
人民公园,Renmin Park,9072,77650,28.680462,115.913806,城市公园,占地面积三十多公顷,0.0,0,4.4,150,https://youimg1.c-ctrip.com/target/0106h120008jr2zpyCFAB.jpg
澄碧湖公园,Chengbihu Park,119830,10537695,28.55056,115.934836,城市公园,依澄碧湖而建，湖中有一岛,0.0,0,4.7,135,https://youimg1.c-ctrip.com/target/0104p120008ikhaf65448.jpg
梅岭太阳谷,,2000030,30597205,28.7759378415,115.790649434,山岳,城市郊野赏梅,0.0,0,4.1,172,https://youimg1.c-ctrip.com/target/10040q000000ga7fd5D98.jpg
孺子亭公园,Ruziting Park,9068,77646,28.67295875188036,115.89571612573974,城市公园,曾为名士徐孺子垂钓之地,0.0,0,4.5,142,https://youimg1.c-ctrip.com/target/100q0v000000k20n00C82.jpg
国体华清水世界,,2479969,33459153,28.621439225889304,115.82287701506306,水上乐园,,0.0,0,3.9,153,https://youimg1.c-ctrip.com/target/100u0q000000gbbpd5032.jpg
新四军军部旧址,New Fourth Army Military Site,9062,77640,28.66706897512043,115.89549433247434,4A景区|纪念馆,江西爱国主义教育基地,0.0,0,4.6,144,https://youimg1.c-ctrip.com/target/0102i120009cntveo221F.jpg
朱德旧居,Zhu De's Former Residence,9058,77638,28.681954,115.899488,名人故居,典型的江南民居建筑,0.0,0,4.6,125,https://youimg1.c-ctrip.com/target/100v0v000000kbtbgA9B0.jpg
梅岭竹海明珠,Meiling Zhuhai Pearl,1409198,10798022,28.79769,115.738706,4A景区|山岳,观赏连绵不断的竹海,0.0,0,4.1,137,https://youimg1.c-ctrip.com/target/100t13000000v6uda3F66.png
青山湖风景区,Qingshan Lake Scenic District,50620,83307,28.70307877991307,115.93238950222315,湖泊,沿湖漫步感受两岸风光,0.0,0,4.4,123,https://youimg1.c-ctrip.com/target/0105w120009d3j7fi0A11.jpg
贺龙指挥部旧址,Helong Headquarters Former Site,1831088,24650231,28.67955411613199,115.88520626164515,历史建筑,,0.0,0,4.7,113,https://youimg1.c-ctrip.com/target/0101d120008s7ho1aFE6B.jpg
水观音亭,Shui Guan Yin Ting,9069,77647,28.681495666503906,115.89461517333984,历史建筑,始建于唐朝，周围湖水环绕,0.0,0,4.6,103,https://youimg1.c-ctrip.com/target/0100y1200092lp0xyCACE.jpg
八一大桥,Bayi Bridge,1829458,24648598,28.69425592302026,115.87513278828463,桥,南昌市较长的斜拉索桥,0.0,0,4.4,97,https://youimg1.c-ctrip.com/target/010361200060hy5dc30A4.jpg
699文化创意园,699 Cultural and Creative Park,1788476,23865164,28.665312,115.941322,创意园区,文艺清净之地的首选,0.0,0,4.5,111,https://youimg1.c-ctrip.com/target/1A0315000000y9qjy26EA.jpg
