名称,英文名,id,poiID,经度,维度,标签,特色,价格,最低价格,评价分数,评论数量,封面图片
成都冰雪大世界,,5717911,130854246,30.656277080446323,104.06626826829428,冰雪乐园,,0.0,0,3.7,11,https://youimg1.c-ctrip.com/target/0102b1200090maf6eC100.jpg
芒城古城址,Site of Mangcheng Ancient City,1700811,20912662,30.881485793084725,103.60676811062012,古迹,,0.0,0,4.0,3,https://youimg1.c-ctrip.com/target/10070m000000edxmt1B98.jpg
蓝彩虹蓝莓采摘基地,Lancaihong Lanmei Caizhai Base,5537353,61906823,30.937091,103.797534,采摘,,0.0,0,4.7,3,https://youimg1.c-ctrip.com/target/100814000000wzsot6085.jpg
腊梅林,,4648151,52076478,30.64557923689941,104.04748017474346,森林,,0.0,0,4.0,3,https://youimg1.c-ctrip.com/target/100i18000001585ppCBEB.jpg
神秘人实景恐怖密室体验馆(王府井店),Shenmi Ren Shijing Kongbu Escape Room Experience Hall,2111074,31845435,30.658907507999427,104.08038865563135,密室,,0.0,0,4.3,3,https://youimg1.c-ctrip.com/target/100s0p000000fmydo8CCA.jpg
中国非物质文化遗产展示区,Exhibition Area of China’s Intangible Cultural Heritage,2036161,31668254,30.8108959998005,103.558306999911,特色街区,,0.0,0,4.3,3,https://youimg1.c-ctrip.com/target/0101x120009cmyl4hF5E9.png
双流规划展览馆,Shuangliuguihua Exhibition hall,1833701,24652852,30.574560165405273,103.89945220947266,展览馆,,0.0,0,2.3,3,https://youimg1.c-ctrip.com/target/10040n000000e0rnwCA38.jpg
成都信息工程学院青羊校区,Chengdu University of Information Technology Qingyang Campus (Southeast Gate),1829962,24649065,30.683779,103.918613,学府,,0.0,0,4.7,3,https://youimg1.c-ctrip.com/target/0104o1200096y75s6E86C.png
东篱菊园,Chrysanthemum Village,4474927,50610742,30.575264979784713,104.14981919734913,沙滩,,0.0,0,0.0,0,https://youimg1.c-ctrip.com/target/0ww6212000946m6vzEB88.jpg
金沙风韵,,4654859,52095955,30.6835285980268,104.021570286793,广场,,0.0,0,4.7,3,https://youimg1.c-ctrip.com/target/01012120009a8qb8fA251.png
龙潭客家人口文化公园,,2036556,31668659,30.713159439335378,104.16763150683597,园林花园,,0.0,0,4.7,3,https://youimg1.c-ctrip.com/target/010681200099vw2yu2C20.png
猫咪博物馆,,5720286,133531814,30.67582896357159,103.97253771787018,特色体验,喵星人,0.0,0,5.0,7,https://youimg1.c-ctrip.com/target/010531200099uip172084.jpg
铁路文化小径,Railway Cultural Trail,5708057,83312737,30.580150977241033,104.48568706168233,山岳,,0.0,0,5.0,3,https://youimg1.c-ctrip.com/target/100e1f000001g3qms58D1.jpg
天府乡村高尔夫俱乐部,Tianfu Country Golf Club,1411601,13378900,30.6875057220459,103.92723083496094,高尔夫,,0.0,0,4.7,3,https://youimg1.c-ctrip.com/target/tg/844/382/272/6522144c4599433c9e8ee51985066b4a.jpg
